Name,Extremity,Position
001_MULTIS066-1,UA,AP
002_MULTIS066-1,UA,AC
004_MULTIS066-1,UA,AD
005_MULTIS066-1,UA,LP
006_MULTIS066-1,UA,LC
007_MULTIS066-1,UA,LD
008_MULTIS066-1,UA,MP
009_MULTIS066-1,UA,MC
010_MULTIS066-1,UA,MD
011_MULTIS066-1,LA,AP
012_MULTIS066-1,LA,AC
014_MULTIS066-1,LA,AD
015_MULTIS066-1,LA,LP
016_MULTIS066-1,LA,LC
017_MULTIS066-1,LA,LD
018_MULTIS066-1,LA,MP
019_MULTIS066-1,LA,MC
020_MULTIS066-1,LA,MD
021_MULTIS066-1,LL,LP
022_MULTIS066-1,LL,LC
023_MULTIS066-1,LL,LD
024_MULTIS066-1,LL,AD
025_MULTIS066-1,LL,MD
026_MULTIS066-1,LA,PP
027_MULTIS066-1,LA,PC
029_MULTIS066-1,LA,PD
030_MULTIS066-1,LL,PD
031_MULTIS066-1,UL,PP
032_MULTIS066-1,UL,PC
034_MULTIS066-1,UL,PD
035_MULTIS066-1,LL,PP
036_MULTIS066-1,LL,PC
038_MULTIS066-1,UA,PP
039_MULTIS066-1,UA,PC
041_MULTIS066-1,UA,PD
042_MULTIS066-1,UL,AP
043_MULTIS066-1,UL,AC
045_MULTIS066-1,UL,AD
046_MULTIS066-1,UL,LP
047_MULTIS066-1,UL,LC
048_MULTIS066-1,UL,LD
049_MULTIS066-1,UL,MP
050_MULTIS066-1,UL,MC
051_MULTIS066-1,UL,MD
053_MULTIS066-1,LL,AP
054_MULTIS066-1,LL,AC
056_MULTIS066-1,LL,MP
058_MULTIS066-1,LL,MC
